ID,X,Y,Z,R,G,B,PART
272B1926F5BB2EC2,-0.76,-9.73,30.00,0.68,0.68,0.68,BODY
86519395E13EEECB,0.38,-9.49,30.20,0.78,0.76,0.75,BODY
85CCDACCFEC589A6,1.37,-9.70,30.40,0.68,0.67,0.65,BODY
140934D493888A86,2.18,-9.16,30.60,0.86,0.82,0.81,BODY
A26A0A2C367F4B80,-3.93,-9.60,30.00,0.55,0.56,0.55,BODY
668702623804C0BE,-2.87,-9.54,30.20,0.68,0.67,0.68,BODY
BEAD2235F4EBF60C,-1.62,-9.67,30.40,0.73,0.73,0.73,BODY
AC481F0BF1858B8A,-0.65,-9.10,30.60,0.74,0.75,0.74,BODY
D9EB690861E6C4D7,0.48,-9.70,30.00,0.75,0.74,0.72,BODY
C1606316809C80AB,2.08,-9.54,30.20,0.83,0.79,0.76,BODY
3701FE9804A4A0AC,3.22,-9.67,30.40,0.91,0.92,0.91,BODY
CD683392E43F41A1,-3.61,-9.15,30.60,0.60,0.60,0.60,BODY
1DBD584C5E5976E9,-2.24,-9.59,30.00,0.71,0.71,0.71,BODY
4C2BEA6B3696C3AB,-1.12,-9.12,30.20,0.65,0.64,0.65,BODY
7C03E3FDB4AD5AD2,0.25,-9.24,30.40,0.80,0.77,0.76,BODY
F1CC07431C2F1D42,0.94,-9.40,30.60,0.61,0.60,0.60,BODY
08D6A9DC829F08C9,1.95,-9.54,30.00,0.85,0.80,0.78,BODY
204C7740762C0DAE,-4.34,-9.01,30.20,0.52,0.53,0.52,BODY
1726B5CD492FCFB9,-3.16,-9.02,30.40,0.67,0.65,0.67,BODY
A151C3439164DD72,-1.85,-9.06,30.60,0.74,0.73,0.73,BODY
252AEDAF94C2766A,-0.90,-9.14,30.00,0.13,0.13,0.13,BODY
C31CE37839883BFE,0.29,-9.12,30.20,0.78,0.76,0.75,BODY
CB68E57F97E558AF,1.74,-9.56,30.40,0.78,0.75,0.74,BODY
658110BEC14D0D7A,2.58,-9.53,30.60,0.86,0.84,0.83,BODY
56FE80C117F80937,-3.60,-9.47,30.00,0.56,0.56,0.56,BODY
F827D01738E5D2E4,-2.72,-8.96,30.20,0.70,0.69,0.70,BODY
AEBFA200E2923853,-1.16,-9.11,30.40,0.71,0.71,0.71,BODY
670849AB20D6037B,-0.15,-9.08,30.60,0.74,0.75,0.74,BODY
3E936FCF2BEADB17,1.07,-9.08,30.00,0.78,0.75,0.74,BODY
96B8A6B30B0C7950,1.77,-9.12,30.20,0.84,0.80,0.78,BODY
B8E94A744D0D2D1E,2.90,-9.50,30.40,0.73,0.85,0.89,BODY
47F612A27EFD3B8D,-3.54,-9.44,30.60,0.61,0.60,0.61,BODY
91F927040689A8BF,-2.35,-9.28,30.00,0.72,0.71,0.72,BODY
0DAA9DE14997A847,-1.14,-9.07,30.20,0.58,0.59,0.61,BODY
91768AC572C976E3,-0.24,-8.97,30.40,0.81,0.77,0.75,BODY
7EB9F75B392B157A,1.08,-9.04,30.60,0.73,0.72,0.70,BODY
C86C587970E1ADB5,2.46,-9.17,30.00,0.87,0.84,0.82,BODY
2D5F7664A7BC7ED9,-4.20,-9.15,30.20,0.48,0.47,0.48,BODY
A880F7510BFBC198,-3.16,-9.32,30.40,0.67,0.65,0.67,BODY
15F931657A820FA7,-1.78,-9.15,30.60,0.74,0.74,0.73,BODY
0238A00A59EF69D5,-0.71,-9.00,30.00,0.09,0.11,0.13,BODY
878D158BB6DC5239,0.46,-9.40,30.20,0.82,0.80,0.78,BODY
1AD78CAC19F15665,1.46,-9.44,30.40,0.74,0.71,0.71,BODY
A5D60D0C2CDE2F04,2.48,-9.04,30.60,0.87,0.84,0.83,BODY
0B15D348B20F6683,-3.82,-9.18,30.00,0.55,0.54,0.55,BODY
198982FD471701D9,-2.73,-9.25,30.20,0.69,0.67,0.69,BODY
07E1BAE650074DE2,-1.90,-8.88,30.40,0.74,0.74,0.74,BODY
934E3913F1BAC0D0,-0.74,-9.36,30.60,0.11,0.11,0.11,BODY
6B1613B65E5D45B3,0.66,-9.10,30.00,0.81,0.80,0.78,BODY
25AB068F09498129,1.35,-9.13,30.20,0.80,0.77,0.75,BODY
AB934C9934A7505A,2.71,-9.20,30.40,0.87,0.84,0.84,BODY
6C1448668157E804,-3.64,-9.19,30.60,0.57,0.58,0.57,BODY
07DB6237C1EB8B32,-2.48,-9.21,30.00,0.71,0.69,0.69,BODY
C85C21ACC87D23E2,-1.69,-9.01,30.20,0.74,0.73,0.74,BODY
2B394DD99D7E29F2,-0.25,-9.32,30.40,0.13,0.14,0.13,BODY
2012C19D48BB45C1,0.70,-9.32,30.60,0.81,0.80,0.78,BODY
E9ED7AEE969D2C86,1.89,-9.07,30.00,0.82,0.80,0.78,BODY
68642BF859BD8FE2,2.72,-8.93,30.20,0.85,0.83,0.82,BODY
1F0F750243E68D53,-3.82,-9.18,30.40,0.58,0.59,0.58,BODY
5AEFEAD60000E5B0,-2.21,-8.96,30.60,0.73,0.71,0.71,BODY
E47978CFD2D2E4FB,-1.50,-8.90,30.00,0.62,0.64,0.64,BODY
2AD1AA47E5891487,0.02,-8.88,30.20,0.16,0.17,0.16,BODY
39BAC3C1FC595783,0.91,-9.16,30.40,0.81,0.78,0.78,BODY
3AD1AE20FF0D4523,1.88,-8.92,30.60,0.87,0.83,0.81,BODY
C713DA420AC72319,3.22,-8.92,30.00,0.86,0.92,0.91,BODY
6EC9197787668B84,-3.69,-9.14,30.20,0.61,0.62,0.61,BODY
BFB5F86AB63062B1,-2.49,-8.80,30.40,0.73,0.72,0.73,BODY
